zid,name,tags,website,physical_address,phone,opening_hours,country_code,longitude,latitude,gisprecision,correctly_placed,created_at,updated_at,updated_by,facebook_page,categories
1007210,Alexandra School,"State Co-Ed Primary, Intermediate School",http://www.alexandra.co.nz,"Ventry Street, Alexandra",03 448 8340,,NZ,169.390533,-45.255782,manual,1,2006-08-11T17:39:21Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007217,Alfredton School,"State Co-Ed Primary, Intermediate School",http://www.bushschools.ac.nz/alfredton,"Alfredton Road, Tararua",06 375 8082,,NZ,175.856577,-40.680272,manual,1,2006-08-11T17:39:22Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007231,Alfriston School,"State Co-Ed Primary, Intermediate School",http://home.xtra.co.nz/hosts/aflriston/,"Cnr Mill & Alfriston Roads, Alfriston",09 266 7845,,NZ,174.939712,-37.01662,manual,1,2006-08-11T17:39:22Z,2013-04-12T14:49:15Z,zenbu,,ElementarySchool MiddleSchool
1007238,Allandale School,State Co-Ed Primary School,http://www.allandale.school.nz/,"167 King Street, Kopeopeo, Whakatane",07 308 7645,,NZ,176.982315,-37.969043,Address,1,2006-08-11T17:39:22Z,2007-10-14T11:46:02Z,burgla,,ElementarySchool
1007245,Allenton School,State Co-Ed Primary School,http://www.allenton.school.nz/,"110 Harrison Street, Ashburton",03 308 6495,,NZ,171.741041,-43.885874,number,1,2006-08-11T17:39:22Z,2013-04-12T15:09:13Z,zenbu,,ElementarySchool
1007259,Al-Madinah School,"State Integrated Co-Ed Primary, Intermediate, Secondary School",http://www.al-madinah.school.nz/,"8 Westney Road, Mangere, Auckland",09 275 5195,,NZ,174.792326,-36.97667,number,1,2006-08-11T17:39:22Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007266,Amana Christian School,"Private Co-Ed Primary, Intermediate School",http://www.amana.school.nz,"80 Gordon Road, Mosgiel, Dunedin",03 489 2113,,NZ,170.3498,-45.878138,number,1,2006-08-11T17:39:22Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool
1007273,Amberley School,"State Co-Ed Primary, Intermediate School",,"Lawcocks Road, Amberley",03 314 8309,,NZ,172.723559,-43.152162,manual,1,2006-08-11T17:39:22Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007287,Amisfield School,"State Co-Ed Primary, Intermediate School",,"Moffat Road, Tokoroa",07 886 5968,,NZ,175.882573,-38.236528,manual,1,2006-08-11T17:39:23Z,2007-11-16T09:07:13Z,burgla,,ElementarySchool MiddleSchool
1007294,Amuri Area School,"State Co-Ed Primary, Intermediate, Secondary School",http://www.amuri.school.nz,"School Road, Culverden",03 315 8233,,NZ,172.846774,-42.77129,manual,1,2006-08-11T17:39:23Z,2013-04-12T14:56:56Z,zenbu,,School ElementarySchool MiddleSchool HighSchool
1007301,Anchorage Park School,State Co-Ed Primary School,http://www.anchoragepark.school.nz/,"Swan Crescent, Pakuranga, Auckland",09 576 9175,,NZ,174.866493,-36.919967,manual,1,2006-08-11T17:39:23Z,2007-12-08T19:51:34Z,burgla,,ElementarySchool
1007308,Andersons Bay School,State Co-Ed Primary School,http://www.andybay.ac.nz,"92 Jeffery Street, Andersons Bay, Dunedin",03 454 4413,,NZ,170.534682,-45.894843,number,1,2006-08-11T17:39:23Z,2011-11-11T09:55:10Z,zenbu-cc,,ElementarySchool
1007315,Aokautere School,State Co-Ed Primary School,,"160 Fitzherbert Road East , Aokautere, Palmerston North",06 357 4611,,NZ,175.665057,-40.363652,Address,1,2006-08-11T17:39:23Z,2007-10-27T20:23:28Z,burgla,,ElementarySchool
1007322,Aoraki Mount Cook School,"State Co-Ed Primary, Intermediate School",,Mt Cook,03 435 1835,,NZ,170.100889,-43.735383,manual,0,2006-08-11T17:39:23Z,2007-08-17T10:05:11Z,zenbu,,ElementarySchool MiddleSchool
1007336,Aorangi School (Rotorua),State Co-Ed Primary School,,"Gem Street, Western Heights, Rotorua",07 347 8448,,NZ,176.207957,-38.132075,manual,1,2006-08-11T17:39:23Z,2011-11-23T01:08:05Z,zenbu-cc,,ElementarySchool
1007357,Apanui School,State Co-Ed Primary School,,"92 McAlister Street, Whakatane",07 308 7687,,NZ,176.990716,-37.956512,number,1,2006-08-11T17:39:23Z,2011-11-11T09:55:10Z,zenbu-cc,,ElementarySchool
1007371,Apiti School,"State Co-Ed Primary, Intermediate School",http://www.apiti.school.nz,"Bryce Street, Apiti, Via Feilding",06 328 4884,,NZ,175.873405,-39.972791,manual,1,2006-08-11T17:39:23Z,2007-05-12T17:22:36Z,burgla,,ElementarySchool MiddleSchool
1007378,Appleby School,State Co-Ed Primary School,http://www.appleby.school.nz,"Cnr Moutere Highway & S H 60, Tasman",03 544 2898,,NZ,173.120145,-41.30621,manual,1,2006-08-11T17:39:24Z,2007-04-21T12:03:49Z,burgla,,ElementarySchool
1007399,Arahoe School,State Co-Ed Primary School,http://www.arahoe.school.nz,"11 Arahoe Road, New Lynn, Auckland",09 827 2710,,NZ,174.674122,-36.921955,Address,1,2006-08-11T17:39:24Z,2007-11-11T19:35:02Z,burgla,,ElementarySchool
1007413,Arakura School,State Co-Ed Primary School,http://www.arakura.school.nz,"Wellington Road, Wainuiomata, Lower Hutt",04 564 6920,,NZ,174.944465,-41.242046,manual,1,2006-08-11T17:39:24Z,2013-04-12T14:50:23Z,zenbu,,ElementarySchool
1007420,Aramoho School,"State Co-Ed Primary, Intermediate School",,"2 Mitchell Street, Aramoho, Wanganui",06 343 8249,,NZ,175.064096,-39.901924,number,1,2006-08-11T17:39:24Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007427,Aranga School,"State Co-Ed Primary, Intermediate School",http://www.aranga.school.nz/,"Aranga, Dargaville",09 439 0634,,NZ,173.613784,-35.739559,manual,1,2006-08-11T17:39:24Z,2008-05-24T17:06:15Z,burgla,,ElementarySchool MiddleSchool
1007441,Aranui Primary School (Christchurch),State Co-Ed Primary School,http://www.aranui.school.nz,"257 Breezes Road, Aranui, Christchurch",03 982 0057,,NZ,172.700419,-43.515968,number,1,2006-08-11T17:39:24Z,2011-10-05T01:12:54Z,zenbu-cc,,ElementarySchool
1007448,Aranui School (Wanganui),State Co-Ed Primary School,,"Aranui Avenue, Castlecliff, Wanganui",06 344 6183,,NZ,174.979935,-39.930208,manual,1,2006-08-11T17:39:24Z,2007-12-15T17:59:50Z,burgla,,ElementarySchool
1007455,Arapohue School,"State Co-Ed Primary, Intermediate School",,"Mititai Road, Arapohue, Dargaville",09 439 7513,,NZ,173.944302,-36.007104,manual,1,2006-08-11T17:39:25Z,2007-04-04T13:56:50Z,Magaret,,ElementarySchool MiddleSchool
1007462,Ararimu School,"State Co-Ed Primary, Intermediate School",http://www.ararimu.school.nz,"3 Steel Road, Drury, Drury",09 294 8372,,NZ,175.037339,-37.140409,manual,1,2006-08-11T17:39:25Z,2007-05-13T17:02:34Z,burgla,,ElementarySchool MiddleSchool
1007469,Arataki School,State Co-Ed Primary School,http://www.aratakischool.co.nz/Welcome.html,"4 Kaimanawa Street, Mt Maunganui",07 575 3497,,NZ,176.231329,-37.675122,Address,1,2006-08-11T17:39:25Z,2007-11-11T13:12:54Z,burgla,,ElementarySchool
1007476,Ardgowan School,"State Co-Ed Primary, Intermediate School",http://ardgowan.school.nz/,"Ardgowan Road, Oamaru",03 433 1366,,NZ,170.9671,-45.06148,manual,1,2006-08-11T17:39:25Z,2013-04-12T14:56:56Z,zenbu,,ElementarySchool MiddleSchool
1007483,Ardmore School,"State Co-Ed Primary, Intermediate School",,"599 Clevedon Road, Papakura",09 299 6228,,NZ,174.99981,-37.034077,manual,1,2006-08-11T17:39:25Z,2007-11-07T20:58:40Z,burgla,,ElementarySchool MiddleSchool
1007490,Argyll East School,"State Co-Ed Primary, Intermediate School",,"Argyll Road, Otane",06 857 5102,,NZ,176.532757,-39.861041,manual,1,2006-08-11T17:39:25Z,2013-04-12T14:49:15Z,zenbu,,ElementarySchool MiddleSchool
1007497,Aria School,State Co-Ed Primary School,http://www.aria.school.nz,"Barclay Road, Aria",07 877 7857,,NZ,174.98538,-38.562999,manual,1,2006-08-11T17:39:25Z,2013-04-12T14:56:57Z,zenbu,,ElementarySchool
1007511,Arohena School,"State Co-Ed Primary, Intermediate School",,"40 Pukewhau Road, Arohena, Waikato",07 872 4526,,NZ,175.615103,-38.192804,manual,1,2006-08-11T17:39:25Z,2007-10-12T21:14:59Z,burgla,,ElementarySchool MiddleSchool
1007518,Arowhenua Maori School,State Co-Ed Primary School,,"Huirapa Street, Arowhenua, Temuka",03 615 7391,,NZ,171.270611,-44.254913,manual,1,2006-08-11T17:39:25Z,2007-10-31T20:29:43Z,burgla,,ElementarySchool
1007525,Arrowtown School,"State Co-Ed Primary, Intermediate School",http://www.arrowtown.school.nz,"9 Chalmers Place, Arrowtown",03 442 1854,,NZ,168.83893,-44.948184,number,1,2006-08-11T17:39:25Z,2013-04-12T15:09:34Z,zenbu,,ElementarySchool MiddleSchool
1007532,Arthur Miller School,State Co-Ed Primary School,http://www.ams.school.nz,"Guppy Road, Taradale, Napier",06 844 6099,,NZ,176.858012,-39.541344,manual,1,2006-08-11T17:39:25Z,2008-10-14T00:46:29Z,HiggyRSQ,,ElementarySchool
1007539,Arthur Street School,"State Co-Ed Primary, Intermediate School",http://www.arthurst.school.nz,"26 Arthur Street, City Rise, Dunedin",03 477 6524,,NZ,170.495116,-45.872757,number,1,2006-08-11T17:39:26Z,2011-11-11T09:55:10Z,zenbu-cc,,ElementarySchool MiddleSchool
1007546,Ascot Community School,"State Co-Ed Primary, Intermediate School",http://www.ascot.school.nz,"580 Tay Street, Invercargill",03 217 5196,,NZ,168.385067,-46.407901,number,1,2006-08-11T17:39:26Z,2013-04-12T14:56:57Z,zenbu,,ElementarySchool MiddleSchool
1007553,Ashbrook School,"State Co-Ed Primary, Intermediate School",,"Wellington Street, Opotiki",07 315 7048,,NZ,177.293501,-38.014609,manual,1,2006-08-11T17:39:26Z,2007-10-13T22:02:20Z,burgla,,ElementarySchool MiddleSchool
1007560,Ashburton Borough School,"State Co-Ed Primary, Intermediate School",http://www.ashborough.school.nz,"Winter Street, Ashburton",03 307 8529,,NZ,171.742358,-43.902113,manual,1,2006-08-11T17:39:26Z,2013-04-12T14:56:57Z,zenbu,,ElementarySchool MiddleSchool
1007581,Ashburton Netherby School,State Co-Ed Primary School,,"51 Brucefield Avenue, Netherby, Ashburton",03 308 5799,,NZ,171.766507,-43.896411,Address,1,2006-08-11T17:39:26Z,2007-10-16T18:16:15Z,burgla,,ElementarySchool
1007588,Ashgrove School,"State Co-Ed Primary, Intermediate School",http://www.ashgrove.school.nz,"48 Seddon Street, Rangiora",03 313 8552,,NZ,172.581846,-43.300219,number,1,2006-08-11T17:39:26Z,2013-04-12T14:56:57Z,zenbu,,ElementarySchool MiddleSchool
1007595,Ashhurst School,"State Co-Ed Primary, Intermediate School",http://www.ashhurst.school.nz,"96 Cambridge Avenue, Ashhurst",06 326 8299,,NZ,175.755048,-40.290767,number,1,2006-08-11T17:39:26Z,2013-04-12T14:56:57Z,zenbu,,ElementarySchool MiddleSchool
1007602,Ashley School,"State Co-Ed Primary, Intermediate School",,"Boundary Road, Ashley",(03) 313 8907,,NZ,172.59603,-43.274526,manual,1,2006-08-11T17:39:26Z,2013-04-12T14:56:57Z,zenbu,,ElementarySchool MiddleSchool
1007644,Auckland Point School,"State Co-Ed Primary, Intermediate School",http://www.aps.school.nz,"Haven Road, Nelson",03 548 7970,,NZ,173.277939,-41.268122,manual,1,2006-08-11T17:39:27Z,2007-05-04T21:05:39Z,burgla,,ElementarySchool MiddleSchool
1007658,Auroa School,"State Co-Ed Primary, Intermediate School",,"Cnr Auroa & Skeet Roads, South Taranaki",06 274 5629,,NZ,174.044219,-39.483102,manual,1,2006-08-11T17:39:27Z,2007-04-21T12:04:59Z,burgla,,ElementarySchool MiddleSchool
1007679,Avalon School,State Co-Ed Primary School,,"Gordon Street, Avalon, Lower Hutt",04 939 9600,,NZ,174.944293,-41.194738,manual,1,2006-08-11T17:39:27Z,2007-09-08T23:19:51Z,vrod_rider,,ElementarySchool
1007686,Avon School,"State Co-Ed Primary, Intermediate School",http://www.avon.school.nz,"Hamlet Street, Stratford",06 765 7293,,NZ,174.284749,-39.351174,manual,1,2006-08-11T17:39:27Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1007707,Avondale Primary School (Auckland),State Co-Ed Primary School,http://www.avondaleprimary.school.nz,"Crayford Street West, Avondale, Auckland",(09) 828 8929,,NZ,174.697959,-36.895976,manual,1,2006-08-11T17:39:28Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool
1007714,Avondale School (Christchurch),State Co-Ed Primary School,,"132 Breezes Road, Avondale, Christchurch",03 388 8371,,NZ,172.692061,-43.510226,number,1,2006-08-11T17:39:28Z,2011-10-05T01:12:49Z,zenbu-cc,,ElementarySchool
1007721,Avonhead School,"State Co-Ed Primary, Intermediate School",http://www.avonhead.school.nz,"55 Avonhead Road, Christchurch",03 348 7361,,NZ,172.559681,-43.524502,number,1,2006-08-11T17:39:28Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1007735,Awahono School - Grey Valley,"State Co-Ed Primary, Intermediate School",,"20 Napoleon Street, Ahaura",03 732 3713,,NZ,171.53831,-42.347831,Address,1,2006-08-11T17:39:28Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1007742,Awahou School,"State Co-Ed Primary, Intermediate School",http://www.awahou.school.nz,"518 Pohangina Valley East Rd, Ashhurst",06 329 4844,,NZ,175.811634,-40.177111,manual,1,2006-08-11T17:39:28Z,2007-09-25T18:11:09Z,burgla,,ElementarySchool MiddleSchool
1007749,Awakeri School,"State Co-Ed Primary, Intermediate School",http://awakeri.school.freeservers.com,"State Highway 30, Whakatane",07 304 9506,,NZ,176.897387,-37.995047,manual,1,2006-08-11T17:39:28Z,2007-07-28T03:56:21Z,muzzanz1,,ElementarySchool MiddleSchool
1007756,Awanui School,State Co-Ed Primary School,,"State Highway 1, Awanui",(09) 406 7309,,NZ,173.25474,-35.0386,manual,1,2006-08-11T17:39:28Z,2007-01-07T14:51:05Z,zenbu,,ElementarySchool
1007763,Awapuni School (Gisborne),State Co-Ed Primary School,http://www.awapuni.schoolzone.net.nz,"129 Awapuni Road, Gisborne",06 868 6660,,NZ,178.009749,-38.668241,number,1,2006-08-11T17:39:28Z,2011-11-11T09:55:10Z,zenbu-cc,,ElementarySchool
1007770,Awapuni School (Palmerston North),State Co-Ed Primary School,http://www.awapuni-primary.school.nz,"18 Rochester Street, Awapuni, Palmerston North",06 358 1735,,NZ,175.588081,-40.37248,number,1,2006-08-11T17:39:28Z,2013-04-12T15:09:14Z,zenbu,,ElementarySchool
1007784,Awhitu District School,"State Co-Ed Primary, Intermediate School",http://awhitu.school.nz,"Matakawau Road, Matakawau, Waiuku",09 235 1005,,NZ,174.61641,-37.112997,manual,1,2006-08-11T17:39:29Z,2007-12-23T12:57:40Z,burgla,,ElementarySchool MiddleSchool
1007791,Bailey Road School,"State Co-Ed Primary, Intermediate School",http://www.baileyroad.school.nz,"19 Bailey Road, Mt Wellington, Auckland",09 579 4619,,NZ,174.827259,-36.909276,number,1,2006-08-11T17:39:29Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1007798,Bainesse School,"State Co-Ed Primary, Intermediate School",http://www.bainesse-school.com,"Cnr Bainesse Road & S H 56, Bainesse, Manawatu",06 329 6856,,NZ,175.377159,-40.408448,manual,1,2006-08-11T17:39:29Z,2007-12-16T14:19:15Z,burgla,,ElementarySchool MiddleSchool
1007805,Bairds Mainfreight Primary School,State Co-Ed Primary School,,"Edward Avenue, Otara, Auckland",09 274 8271,,NZ,174.867207,-36.959563,manual,1,2006-08-11T17:39:29Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool
1007812,Balaclava School,State Co-Ed Primary School,http://www.balaclava.school.nz/,"2 Mercer Street, Balaclava, Dunedin",03 488 4667,,NZ,170.466552,-45.888882,number,1,2006-08-11T17:39:29Z,2013-04-12T15:09:14Z,zenbu,,ElementarySchool
1007819,Balclutha School,"State Co-Ed Primary, Intermediate School",,"Lanark Street, Balclutha",03 418 1009,,NZ,169.742514,-46.240437,manual,1,2006-08-11T17:39:29Z,2007-10-04T12:00:58Z,burgla,,ElementarySchool MiddleSchool
1007826,Balfour School,State Co-Ed Primary School,,"131 Queen Street, Balfour",03 201 6042,,NZ,168.585316,-45.84226,Address,1,2006-08-11T17:39:29Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool
1007833,Ballance School,"State Co-Ed Primary, Intermediate School",,"15 Post Office Road, Ballance, Manawatu",06 376 7826,,NZ,175.799443,-40.401405,Address,1,2006-08-11T17:39:29Z,2007-10-27T18:56:47Z,burgla,,ElementarySchool MiddleSchool
1007847,Balmoral Seventh-Day Adventist School,"Balmoral SDA School is a state integrated U3, decile 5 full-primary school with a special Christian character",http://www.balmoralsda.school.nz,"10 Wiremu Street, Balmoral, Auckland",09 638 7903,,NZ,174.745742,-36.887783,manual,1,2006-08-11T17:39:29Z,2013-04-10T22:42:30Z,zenbu,,ElementarySchool MiddleSchool
1007854,Balmoral School,"State Co-Ed Primary, Intermediate School",http://www.balmoral.school.nz/,"19 Brixton Road, Mt Eden, Auckland",09 638 7960,,NZ,174.746184,-36.885148,manual,1,2006-08-11T17:39:30Z,2013-04-10T22:42:48Z,zenbu,,ElementarySchool MiddleSchool
1007861,Bamford School,"State Co-Ed Primary, Intermediate School",,"Gould Crescent, Woolston, Christchurch",03 982 0206,,NZ,172.687719,-43.55396,manual,1,2006-08-11T17:39:30Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1007868,Banks Avenue School,State Co-Ed Primary School,http://www.banksave.school.nz,"Banks Avenue, Shirley, Christchurch",03 385 4163,,NZ,172.667881,-43.512969,manual,1,2006-08-11T17:39:30Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool
1007875,Bankwood School,State Co-Ed Primary School,http://www.bankwood.school.nz,"152 Bankwood Road, Fairfield, Hamilton",07 855 7763,,NZ,175.27606,-37.754988,number,1,2006-08-11T17:39:30Z,2007-01-23T12:49:02Z,zenbu,,ElementarySchool
1007889,Barrytown School,"State Co-Ed Primary, Intermediate School",,"Cnr S H 6 & Cargills Road, Barrytown",(03) 731 1824,,NZ,171.325886,-42.244229,manual,1,2006-08-11T17:39:30Z,2010-01-08T20:48:17Z,burgla,,ElementarySchool MiddleSchool
1007896,Barton Rural School,"State Co-Ed Primary, Intermediate School",,"462 Fairview Road, Timaru",03 688 4709,,NZ,171.171285,-44.410199,Address,1,2006-08-11T17:39:30Z,2013-04-12T14:50:55Z,zenbu,,ElementarySchool MiddleSchool
1007903,Baverstock Oaks School,"State Co-Ed Primary, Intermediate School",http://www.baverstock.school.nz,"21 Baverstock Road, Flat Bush, Auckland",(09) 278 6741,,NZ,174.913434,-36.955748,Address,1,2006-08-11T17:39:30Z,2009-05-09T02:14:28Z,Gremlin,,ElementarySchool MiddleSchool
1007924,Bayfield School,State Co-Ed Primary School,http://www.bayfield.school.nz,"2-12 Clifton Road, Herne Bay, Auckland",09 376 5703,,NZ,174.731213,-36.847019,number,1,2006-08-11T17:39:30Z,2007-01-23T13:20:55Z,zenbu,,ElementarySchool
1007931,Bayswater School,State Co-Ed Primary School,http://www.bayswater.school.nz,"Bayswater Avenue, Bayswater, Auckland",(09) 445 6226,,NZ,174.788082,-36.809577,manual,1,2006-08-11T17:39:31Z,2013-04-12T14:55:06Z,zenbu,,ElementarySchool
1007938,Bayview School,State Co-Ed Primary School,http://www.bayview.school.nz/,"60 Bayview Road, Glenfield, Auckland",09 444 2222,,NZ,174.706446,-36.77212,manual,1,2006-08-11T17:39:31Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool
1007945,Beach Haven School,State Co-Ed Primary School,http://www.beachhaven.school.nz/,"Tramway Road, Beach Haven, Auckland",09 483 7615,,NZ,174.690793,-36.794045,manual,1,2006-08-11T17:39:31Z,2007-08-31T01:01:27Z,JDHnz,,ElementarySchool
1007952,Beachlands School,"State Co-Ed Primary, Intermediate School",http://www.beachlands.school.nz,"18 Bell Road, Beachlands, Auckland",09 536 6757,,NZ,175.000171,-36.885055,number,1,2006-08-11T17:39:31Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1007959,Beaconsfield School,"State Co-Ed Primary, Intermediate School",,"Guscott Road, Timaru",03 686 4819,,NZ,171.129956,-44.435266,manual,1,2006-08-11T17:39:31Z,2007-10-08T17:34:18Z,The-Organist,,ElementarySchool MiddleSchool
1007966,Beckenham School,"State Co-Ed Primary, Intermediate School",http://www.beckenham.school.nz,"71 Sandwich Road, Beckenham, Christchurch",03 337 1404,,NZ,172.644973,-43.563044,number,1,2006-08-11T17:39:31Z,2013-04-12T15:10:53Z,zenbu,,ElementarySchool MiddleSchool
1007973,Belfast School,"State Co-Ed Primary, Intermediate School",http://www.belfastschool.co.nz,"Main North Road, Belfast, Christchurch",03 323 8849,,NZ,172.627949,-43.453885,manual,1,2006-08-11T17:39:31Z,2011-10-05T01:13:04Z,zenbu-cc,,ElementarySchool MiddleSchool
1007980,Bell Block School,"State Co-Ed Primary, Intermediate School",http://www.bellblock.school.nz,"Devon Road, Bell Block, New Plymouth",06 755 0838,,NZ,174.145135,-39.035686,manual,1,2006-08-11T17:39:31Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1007987,Bellevue School (Newlands),State Co-Ed Primary School,,"Bancroft Terrace, Newlands, Wellington",04 478 7037,,NZ,174.825445,-41.225518,manual,1,2006-08-11T17:39:31Z,2007-11-04T16:56:01Z,burgla,,ElementarySchool
1007994,Bellevue School (Tauranga),State Co-Ed Primary School,http://www.bellevue.school.nz,"Princess Road, Otumoetai, Tauranga",07 576 5916,,NZ,176.126525,-37.678603,manual,1,2006-08-11T17:39:31Z,2007-04-25T17:46:33Z,burgla,,ElementarySchool
1008001,Belmont Christian Academy,"State Integrated Co-Ed Primary, Intermediate School",http://www.belmontacademy.school.nz,"357 South Road, Hawera",06 278 4210,,NZ,174.25839,-39.58897,number,1,2006-08-11T17:39:31Z,2011-11-11T09:55:10Z,zenbu-cc,,ElementarySchool MiddleSchool
1008015,Belmont School (Auckland),State Co-Ed Primary School,http://www.belmont.school.nz/main.asp,"3 a Harrison Avenue, Belmont, Auckland",09 445 6605,,NZ,174.791145,-36.805829,number,1,2006-08-11T17:39:32Z,2007-01-23T13:20:56Z,zenbu,,ElementarySchool
1008022,Belmont School (Lower Hutt),State Co-Ed Primary School,http://www.belmont-lowerhutt.school.nz,"Western Hutt Road, Belmont, Lower Hutt",04 565 0306,,NZ,174.928029,-41.191315,manual,1,2006-08-11T17:39:32Z,2011-11-28T00:09:40Z,zenbu-cc,,ElementarySchool
1008029,Benneydale School,"State Co-Ed Primary, Intermediate School",,"Mine Road, Benneydale",07 878 4829,,NZ,175.368683,-38.520546,manual,1,2006-08-11T17:39:32Z,2013-04-12T14:56:58Z,zenbu,,ElementarySchool MiddleSchool
1008036,Berhampore School,State Co-Ed Primary School,http://www.berhampore.school.nz,"105 Britomart Street, Berhampore, Wellington",04 389 9391,,NZ,174.773336,-41.320746,number,1,2006-08-11T17:39:32Z,2011-11-11T09:55:10Z,zenbu-cc,,ElementarySchool
1008050,Waipa Christian School,"State Integrated Co-Ed Primary, Intermediate School",http://www.waipachristian.school.nz,"320 Swarbrick Drive, Te Awamutu",07 871 4520,,NZ,175.330734,-38.020017,number,1,2006-08-11T17:39:32Z,2013-04-12T15:10:52Z,zenbu,,ElementarySchool MiddleSchool
1008057,Bethlehem College,"State Integrated Co-Ed Primary, Intermediate, Secondary School",http://www.beth.school.nz,"Elder Lane, Bethlehem, Tauranga",07 576 6769,,NZ,176.112867,-37.704808,street,0,2006-08-11T17:39:32Z,2007-01-17T15:25:52Z,zenbu,,ElementarySchool MiddleSchool
